participant_id,real_weight,virtual_weight,borg,q2,q9,q11,q17,q18,q32,q37,q38,q21,q36,q40,q54,q56,q60,q30,q48,q61,q70
1,PC,HV,8,3,5,5,4,5,5,3,5,3,4,4,5,7,5,3,3,2,2
2,PC,HV,11,6,4,1,3,3,7,3,4,6,5,0,5,3,5,4,8,6,3
3,PC,HV,10,6,7,6,5,6,9,6,7,10,8,8,10,6,9,6,7,6,4
4,PC,HV,11,7,3,2,1,0,7,3,8,7,4,0,7,6,7,2,5,4,1
5,PC,HV,9,3,4,5,3,8,9,4,9,9,5,6,9,10,9,1,6,6,1
6,PC,HV,14,7,8,8,9,8,8,9,8,8,8,10,8,6,8,9,10,9,5
7,PC,HV,11,6,5,4,7,3,4,2,3,8,6,8,10,9,10,7,1,2,8
8,PC,HV,14,8,7,7,8,7,7,6,8,7,7,6,7,8,7,8,9,9,8
9,PC,HV,13,6,8,4,8,8,6,8,6,8,8,9,9,9,8,9,9,9,9
10,PC,HV,12,7,7,6,7,6,9,7,9,9,7,8,7,8,8,8,7,8,7
11,PC,HV,9,6,7,7,7,5,7,7,9,6,5,3,8,10,10,9,10,2,10
12,PC,HV,6,2,1,7,0,1,9,1,8,9,9,7,9,10,9,0,8,8,0
13,PC,HV,6,5,7,4,7,7,3,4,2,8,8,6,8,8,8,7,8,9,6
14,PC,HV,7,3,2,3,2,2,4,7,5,6,5,6,8,7,7,1,8,8,1
15,PC,HV,6,3,3,1,3,3,3,0,2,9,6,6,10,10,4,0,9,9,0
16,PC,HV,7,5,7,3,6,4,7,4,5,7,4,2,6,8,5,8,6,8,8
17,PC,HV,11,5,8,6,6,7,8,7,8,8,7,7,8,7,8,5,6,7,5
18,PC,HV,14,9,10,7,9,10,7,6,4,9,5,6,10,9,9,2,9,9,2
19,PC,HV,14,3,4,5,3,4,8,4,7,9,9,9,9,10,9,5,6,7,1
20,PC,HV,12,2,3,1,3,3,5,3,2,5,4,0,6,9,2,3,8,7,3
21,PC,HV,13,2,9,1,9,6,7,3,1,9,9,7,9,6,9,8,8,8,7
22,PC,HV,9,7,8,7,6,7,9,7,7,9,8,6,10,9,9,8,5,4,7
23,PC,HV,12,0,6,6,7,7,9,4,10,7,7,8,8,8,9,6,3,2,6
24,PC,HV,11,8,7,6,5,7,8,9,9,9,7,9,8,10,8,7,8,10,9
25,PC,HV,7,7,7,7,6,5,6,8,6,10,8,8,9,10,8,10,8,9,9
26,PC,HV,11,4,4,8,4,4,3,3,2,8,4,0,7,7,8,6,7,7,6
27,PC,HV,12,8,8,6,8,7,9,6,8,10,9,8,9,10,10,9,8,7,7
28,PC,HV,9,8,9,7,7,7,7,7,7,7,6,7,7,9,7,6,7,7,7
29,PC,HV,11,5,5,2,6,6,5,5,6,7,7,2,7,7,7,5,8,8,5
30,PC,HV,10,7,6,3,5,6,6,5,4,6,5,3,3,6,7,5,7,7,5
31,PC,HV,10,7,8,4,9,8,9,7,7,10,9,8,10,10,9,6,8,8,7
32,PC,HV,7,7,5,4,6,7,6,6,4,4,6,7,6,9,5,6,8,8,6
1,HC,PV,7,3,3,5,3,4,4,4,6,6,6,5,6,6,6,1,2,1,1
2,HC,PV,13,2,3,1,3,2,6,4,3,4,5,0,5,7,2,4,7,6,1
3,HC,PV,12,6,5,7,6,7,7,6,8,8,7,7,8,7,9,6,6,6,5
4,HC,PV,13,5,3,2,2,1,8,5,7,7,6,0,6,2,7,2,6,5,1
5,HC,PV,13,6,3,4,4,3,7,5,9,9,7,7,10,3,8,1,6,4,1
6,HC,PV,15,5,7,8,8,8,6,6,6,7,8,9,7,6,7,9,8,8,4
7,HC,PV,15,3,3,3,4,3,6,3,3,9,7,8,10,8,10,5,4,3,5
8,HC,PV,13,6,7,6,7,7,6,6,6,6,6,5,7,7,6,8,9,9,8
9,HC,PV,13,7,8,6,8,8,6,6,6,8,8,9,9,9,9,9,7,9,9
10,HC,PV,12,8,7,7,6,7,8,7,8,8,8,10,7,8,8,6,6,6,7
11,HC,PV,9,9,7,5,9,8,9,8,9,9,9,10,9,9,10,10,2,1,10
12,HC,PV,9,8,1,7,1,1,9,3,7,9,9,7,9,10,9,0,8,8,0
13,HC,PV,6,7,7,4,7,7,3,3,3,6,7,8,7,6,6,6,8,8,4
14,HC,PV,10,3,3,2,4,3,1,5,4,6,5,6,7,9,7,1,8,8,1
15,HC,PV,10,1,2,0,0,3,3,4,4,10,10,10,10,10,5,0,7,5,0
